word,antonym,tier
abandon,keep,1
abnormal,normal,1
above,below,1
absorb,emit,1
abstract,concrete,1
abundance,scarcity,1
abundant,scarce,1
accelerate,decelerate,1
accept,reject,1
activate,deactivate,1
active,passive,1
add,remove,1
adequate,inadequate,1
adore,despise,1
advance,retreat,1
advanced,basic,1
adversary,ally,1
affirm,deny,1
after,before,1
age,youth,1
agitate,soothe,1
agitated,calm,1
agree,disagree,1
ahead,behind,1
ain't,am,1
alienate,reconcile,1
alive,dead,1
allow,forbid,1
ally,adversary,1
always,never,1
amateur,professional,1
amplify,muffle,1
amusing,serious,1
ancestor,descendant,1
ancient,modern,1
annual,daily,1
answer,ask,1
anxious,calm,1
anyone,nobody,1
apart,together,1
appear,disappear,1
apprentice,master,1
approach,recede,1
approve,disapprove,1
approximate,exact,1
aren't,are,1
arrival,departure,1
arrive,depart,1
arrogant,humble,1
artificial,natural,1
ascend,descend,1
ashamed,proud,1
ask,answer,1
asleep,awake,1
assemble,disassemble,1
attach,detach,1
attack,defend,1
attacker,defender,1
attract,repel,1
attractive,repulsive,1
austere,luxurious,1
authentic,fake,1
autumn,spring,1
avoid,approach,1
awake,asleep,1
awaken,lull,1
back,front,1
backward,forward,1
bad,good,1
badly,well,1
banish,welcome,1
barren,fertile,1
basic,advanced,1
beautiful,ugly,1
before,after,1
begin,end,1
beginning,end,1
behind,ahead,1
believe,doubt,1
below,above,1
beneficial,detrimental,1
best,worst,1
better,worse,1
big,small,1
bind,free,1
birth,death,1
bitter,sweet,1
black,white,1
blame,praise,1
bless,curse,1
blessed,cursed,1
bliss,misery,1
bloom,wilt,1
blunt,sharpen,1
boast,humble,1
bold,timid,1
boring,interesting,1
bottom,top,1
brake,accelerate,1
brave,cowardly,1
bravely,cowardly,1
break,mend,1
brief,eternal,1
bright,dim,1
brighten,darken,1
broadly,narrowly,1
build,demolish,1
bumpy,flat,1
burden,lighten,1
busy,idle,1
buy,sell,1
calm,agitated,1
can't,can,1
cannot,can,1
capable,incapable,1
care,neglect,1
careful,careless,1
carefully,carelessly,1
careless,careful,1
carelessly,carefully,1
cause,effect,1
celebrate,mourn,1
certain,uncertain,1
certainly,uncertainly,1
chaos,order,1
chaotic,orderly,1
charitable,selfish,1
charming,repulsive,1
cheerful,gloomy,1
cherish,despise,1
child,parent,1
clarify,obscure,1
clean,dirty,1
clear,obscure,1
clearly,obscurely,1
clever,dumb,1
climb,descend,1
close,open,1
closed,open,1
clumsy,elegant,1
cold,hot,1
collect,disperse,1
colorful,colorless,1
colorless,colorful,1
combine,divide,1
come,go,1
comfort,distress,1
common,rare,1
competent,incompetent,1
complete,incomplete,1
completely,incompletely,1
complex,simple,1
complicate,simplify,1
compress,expand,1
conceal,reveal,1
concentrate,dilute,1
concise,verbose,1
conclude,begin,1
concrete,abstract,1
condemn,praise,1
confident,uncertain,1
connect,disconnect,1
conservative,innovative,1
constant,variable,1
construct,demolish,1
constructive,destructive,1
contract,expand,1
cool,warm,1
correct,incorrect,1
correctly,incorrectly,1
couldn't,could,1
courage,cowardice,1
courageous,cowardly,1
cover,uncover,1
cowardice,courage,1
cowardly,brave,1
create,destroy,1
criticize,praise,1
crowded,empty,1
cruel,kind,1
cruelly,kindly,1
cry,laugh,1
curse,bless,1
cursed,blessed,1
curved,straight,1
damage,repair,1
dangerous,safe,1
daren't,dare,1
dark,light,1
darken,illuminate,1
darkness,light,1
dawn,dusk,1
day,night,1
deactivate,activate,1
dead,alive,1
death,life,1
decelerate,accelerate,1
decline,advance,1
decrease,increase,1
deep,shallow,1
deepen,shallow,1
deeply,shallowly,1
defeat,victory,1
defend,attack,1
defender,attacker,1
definite,indefinite,1
definitely,vaguely,1
deflate,inflate,1
delayed,immediate,1
demolish,build,1
demote,promote,1
demotivate,motivate,1
dense,sparse,1
deny,affirm,1
depart,arrive,1
departure,arrival,1
descend,ascend,1
descendant,ancestor,1
despair,hope,1
despise,adore,1
destroy,create,1
destructive,constructive,1
detach,attach,1
deter,attract,1
detrimental,beneficial,1
didn't,did,1
difficult,easy,1
diligent,lazy,1
dilute,concentrate,1
dim,bright,1
diminish,multiply,1
dirty,clean,1
disable,enable,1
disagree,agree,1
disappear,appear,1
disapprove,approve,1
disassemble,assemble,1
discard,treasure,1
disciplined,undisciplined,1
disconnect,connect,1
discourage,encourage,1
dishonest,honest,1
dishonestly,honestly,1
dishonor,honor,1
dishonorable,honorable,1
dislike,like,1
disloyal,loyal,1
dismantle,construct,1
dismiss,summon,1
disobedient,obedient,1
disorganized,organized,1
disperse,collect,1
displease,please,1
disrespect,respect,1
disrespectful,respectful,1
dissatisfy,satisfy,1
distress,comfort,1
distrust,trust,1
divide,combine,1
doesn't,does,1
don't,do,1
doubt,believe,1
down,up,1
downward,upward,1
drab,splendid,1
drain,fill,1
dream,nightmare,1
drop,lift,1
dry,wet,1
dull,sharp,1
dumb,clever,1
durable,fragile,1
dusk,dawn,1
eagerly,reluctantly,1
early,late,1
earn,spend,1
east,west,1
easy,difficult,1
effect,cause,1
effective,ineffective,1
efficient,inefficient,1
elegant,clumsy,1
elevate,lower,1
embrace,reject,1
emit,absorb,1
empty,full,1
enable,disable,1
encourage,discourage,1
end,begin,1
endanger,protect,1
enemy,friend,1
energetic,lethargic,1
enter,exit,1
entertaining,tedious,1
entry,exit,1
erase,create,1
escalate,de-escalate,1
eternal,temporary,1
ethical,unethical,1
evening,morning,1
everything,nothing,1
everywhere,nowhere,1
evil,good,1
exact,approximate,1
exaggerate,understate,1
excellent,poor,1
excessive,insufficient,1
excite,calm,1
exciting,dull,1
exclude,include,1
exile,accept,1
exit,enter,1
expand,contract,1
expel,invite,1
experienced,inexperienced,1
expert,novice,1
expose,protect,1
extend,retract,1
extinguish,ignite,1
fact,fiction,1
fail,succeed,1
failure,success,1
fair,unfair,1
fairly,unfairly,1
faithful,unfaithful,1
fake,real,1
fall,rise,1
false,true,1
falsely,truly,1
familiar,unfamiliar,1
famine,feast,1
fancy,plain,1
far,near,1
fast,slow,1
fasten,loosen,1
fat,thin,1
fearful,fearless,1
fearless,fearful,1
feast,famine,1
feeble,mighty,1
fertile,barren,1
fiction,fact,1
fill,empty,1
find,lose,1
finish,start,1
first,last,1
flat,bumpy,1
flatter,insult,1
flexible,rigid,1
flourish,wither,1
follow,lead,1
follower,leader,1
folly,wisdom,1
foolish,sensible,1
forbid,allow,1
forget,remember,1
forgive,punish,1
formal,informal,1
forward,backward,1
fragile,durable,1
free,imprisoned,1
freedom,slavery,1
freeze,thaw,1
frequent,rare,1
frequently,rarely,1
fresh,stale,1
friend,enemy,1
friendly,hostile,1
front,back,1
frown,smile,1
full,empty,1
fully,partially,1
funny,sad,1
future,past,1
gain,lose,1
gather,scatter,1
general,specific,1
generous,stingy,1
gentle,harsh,1
genuine,fake,1
give,take,1
gloomy,cheerful,1
glorious,shameful,1
go,come,1
good,bad,1
graceful,clumsy,1
gradual,sudden,1
grand,humble,1
grant,revoke,1
greedy,generous,1
grow,shrink,1
guard,neglect,1
guest,host,1
guilty,innocent,1
hadn't,had,1
handsome,ugly,1
happily,sadly,1
happiness,sadness,1
happy,sad,1
hard,soft,1
harden,soften,1
hardworking,lazy,1
harmful,helpful,1
harsh,gentle,1
harshly,softly,1
hasn't,has,1
hate,love,1
hateful,loving,1
haven't,have,1
heal,wound,1
health,sickness,1
healthy,sick,1
heat,cool,1
heaven,hell,1
heavy,light,1
heighten,lower,1
hell,heaven,1
help,hinder,1
helpful,harmful,1
here,there,1
hero,villain,1
hidden,obvious,1
hide,reveal,1
high,low,1
hinder,help,1
honest,dishonest,1
honestly,dishonestly,1
honor,dishonor,1
honorable,dishonorable,1
hope,despair,1
host,guest,1
hostile,friendly,1
hot,cold,1
huge,tiny,1
humble,arrogant,1
humorous,solemn,1
idle,busy,1
ignite,extinguish,1
ignoble,noble,1
ignorance,knowledge,1
ignore,know,1
illegal,legal,1
illogical,logical,1
illuminate,darken,1
immediate,delayed,1
immoral,moral,1
impatient,patient,1
imperfect,perfect,1
imperfectly,perfectly,1
important,unimportant,1
imprecise,precise,1
imprison,liberate,1
imprisoned,free,1
improve,worsen,1
impure,pure,1
in,out,1
inadequate,adequate,1
incapable,capable,1
include,exclude,1
incompetent,competent,1
incomplete,complete,1
incompletely,completely,1
incorrect,correct,1
incorrectly,correctly,1
increase,decrease,1
indefinite,definite,1
indoor,outdoor,1
industrious,lazy,1
ineffective,effective,1
inefficient,efficient,1
inexperienced,experienced,1
inferior,superior,1
inferno,paradise,1
inflate,deflate,1
informal,formal,1
inner,outer,1
innocent,guilty,1
innovative,conservative,1
insane,sane,1
insert,remove,1
inside,outside,1
insignificant,significant,1
insincere,sincere,1
insincerely,sincerely,1
inspire,discourage,1
insufficient,excessive,1
insult,flatter,1
integrate,separate,1
intelligent,stupid,1
interesting,boring,1
intolerant,tolerant,1
invisible,visible,1
invite,exclude,1
inward,outward,1
irrational,rational,1
irregular,regular,1
isn't,is,1
join,separate,1
joy,sorrow,1
joyful,sorrowful,1
just,unjust,1
justly,unjustly,1
keep,abandon,1
kind,cruel,1
kindly,cruelly,1
king,peasant,1
know,ignore,1
knowledge,ignorance,1
known,unknown,1
languish,thrive,1
large,small,1
last,first,1
late,early,1
laugh,cry,1
lavish,meager,1
lazy,diligent,1
lead,follow,1
leader,follower,1
learn,teach,1
leave,arrive,1
left,right,1
legal,illegal,1
lengthen,shorten,1
lengthy,brief,1
less,more,1
lessen,increase,1
lethargic,energetic,1
liberate,imprison,1
lie,truth,1
life,death,1
lifeless,lively,1
lift,drop,1
light,heavy,1
lighten,burden,1
like,dislike,1
liquefy,solidify,1
liquid,solid,1
lively,lifeless,1
loathe,adore,1
lock,unlock,1
logical,illogical,1
long,short,1
loose,rigid,1
loosen,fasten,1
lord,servant,1
lose,win,1
loud,quiet,1
loudly,quietly,1
love,hate,1
loving,hateful,1
low,high,1
lower,elevate,1
loyal,disloyal,1
lull,awaken,1
lush,barren,1
luxurious,austere,1
magnificent,shabby,1
major,minor,1
master,slave,1
mayn't,may,1
meager,lavish,1
melt,harden,1
mend,break,1
merry,miserable,1
messy,neat,1
midnight,noon,1
mightn't,might,1
mighty,feeble,1
minor,major,1
minute,vast,1
miserable,merry,1
misery,bliss,1
misunderstand,understand,1
mock,respect,1
modern,ancient,1
modest,arrogant,1
moral,immoral,1
more,less,1
morning,evening,1
motivate,demotivate,1
mourn,celebrate,1
muffle,amplify,1
multiply,divide,1
mustn't,must,1
narrow,wide,1
narrowly,broadly,1
natural,artificial,1
near,far,1
neat,messy,1
needn't,need,1
negate,affirm,1
negative,positive,1
neglect,guard,1
nervous,confident,1
never,always,1
new,old,1
night,day,1
nightmare,dream,1
no,yes,1
noble,ignoble,1
nobody,someone,1
noisy,silent,1
noon,midnight,1
normal,abnormal,1
north,south,1
nothing,something,1
novice,expert,1
now,then,1
nowhere,everywhere,1
obedient,disobedient,1
objective,subjective,1
obscure,clear,1
obscurely,clearly,1
obvious,hidden,1
off,on,1
official,unofficial,1
often,rarely,1
old,young,1
omit,include,1
on,off,1
open,closed,1
openly,secretly,1
oppose,support,1
optimistic,pessimistic,1
opulent,modest,1
order,chaos,1
orderly,chaotic,1
organized,disorganized,1
ornate,plain,1
oughtn't,ought,1
out,in,1
outdoor,indoor,1
outer,inner,1
outside,inside,1
outward,inward,1
over,under,1
overdue,early,1
overlook,remember,1
pain,pleasure,1
paradise,inferno,1
parent,child,1
partial,whole,1
partially,fully,1
passive,active,1
past,future,1
patient,impatient,1
peace,war,1
peaceful,violent,1
peasant,king,1
perfect,imperfect,1
perfectly,imperfectly,1
permanent,temporary,1
permit,forbid,1
pessimistic,optimistic,1
plain,fancy,1
plant,uproot,1
play,work,1
please,displease,1
pleasure,pain,1
plentiful,scarce,1
polite,rude,1
poor,rich,1
positive,negative,1
poverty,wealth,1
powerful,powerless,1
powerless,powerful,1
praise,criticize,1
precise,imprecise,1
precisely,vaguely,1
predator,prey,1
present,future,1
prevail,succumb,1
prey,predator,1
private,public,1
privately,publicly,1
problem,solution,1
productive,unproductive,1
professional,amateur,1
progressive,regressive,1
promote,demote,1
propose,oppose,1
prosper,fail,1
protect,endanger,1
proud,ashamed,1
public,private,1
publicly,privately,1
pull,push,1
punish,reward,1
pure,impure,1
push,pull,1
question,answer,1
quick,slow,1
quicken,slow,1
quickly,slowly,1
quiet,loud,1
quietly,loudly,1
raise,lower,1
rapidly,slowly,1
rare,common,1
rarely,often,1
rational,irrational,1
real,fake,1
reality,fiction,1
reasonable,unreasonable,1
recede,approach,1
receive,send,1
reconcile,alienate,1
refuse,accept,1
regressive,progressive,1
regular,irregular,1
reject,accept,1
relaxed,stressed,1
release,tighten,1
reliable,unreliable,1
reluctantly,eagerly,1
remember,forget,1
remove,add,1
repair,damage,1
repel,attract,1
repulsive,charming,1
respect,disrespect,1
respectful,disrespectful,1
restless,calm,1
retract,extend,1
retreat,advance,1
reveal,hide,1
revoke,grant,1
reward,punish,1
rich,poor,1
right,wrong,1
righteous,wicked,1
rightly,wrongly,1
rigid,flexible,1
rise,fall,1
rough,smooth,1
rude,polite,1
rural,urban,1
sad,happy,1
sadly,happily,1
sadness,happiness,1
safe,dangerous,1
sane,insane,1
satisfy,dissatisfy,1
save,spend,1
scarce,abundant,1
scarcity,abundance,1
scatter,gather,1
secretly,openly,1
selfish,charitable,1
sell,buy,1
send,receive,1
sensible,foolish,1
separate,join,1
serene,agitated,1
serious,trivial,1
servant,lord,1
shabby,magnificent,1
shallow,deep,1
shallowly,deeply,1
shame,honor,1
shameful,glorious,1
shan't,shall,1
sharp,dull,1
sharpen,blunt,1
short,tall,1
shorten,lengthen,1
shouldn't,should,1
shrink,grow,1
shut,open,1
sick,healthy,1
sickness,health,1
significant,insignificant,1
silence,speak,1
silent,noisy,1
simple,complex,1
simplify,complicate,1
sincere,insincere,1
sincerely,insincerely,1
sinful,virtuous,1
sink,rise,1
sit,stand,1
skilled,unskilled,1
slacken,tighten,1
slave,master,1
slavery,freedom,1
sleep,wake,1
sloppy,thorough,1
slow,fast,1
slowly,quickly,1
sluggish,swift,1
small,big,1
smart,dull,1
smile,frown,1
smooth,rough,1
soft,hard,1
soften,harden,1
softly,harshly,1
solemn,humorous,1
solid,liquid,1
solidify,liquefy,1
